# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-T" "8" "-t" "CDS" "-g" "gene_name" "-a" "ref/MW2_annotation/MW2_assembly.gtf" "-o" "MW2_transcripts.txt" "mapping/M-A_S488_L006_vs_MW2.sorted.bam" "mapping/M-B_S489_L006_vs_MW2.sorted.bam" "mapping/M-C_S490_L006_vs_MW2.sorted.bam" "mapping/MplusA_S494_L006_vs_MW2.sorted.bam" "mapping/MplusB_S495_L006_vs_MW2.sorted.bam" "mapping/MplusC_S496_L006_vs_MW2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	mapping/M-A_S488_L006_vs_MW2.sorted.bam	mapping/M-B_S489_L006_vs_MW2.sorted.bam	mapping/M-C_S490_L006_vs_MW2.sorted.bam	mapping/MplusA_S494_L006_vs_MW2.sorted.bam	mapping/MplusB_S495_L006_vs_MW2.sorted.bam	mapping/MplusC_S496_L006_vs_MW2.sorted.bam
plsC	MRSA_MW2_contig_1	1272347	1272964	-	618	9876	8388	10343	6607	15759	12101
tyrS	MRSA_MW2_contig_1	1274504	1275766	-	1263	16140	13807	17231	11262	28605	20588
harA	MRSA_MW2_contig_1	1277256	1279943	-	2688	951	684	827	986	1584	1755
fhs	MRSA_MW2_contig_1	1280277	1281944	-	1668	24457	18855	26086	8898	12199	10989
acsA	MRSA_MW2_contig_1	1282384	1284090	-	1707	742	594	752	518	634	577
DBIAII_01233	MRSA_MW2_contig_1	1284259	1284891	+	633	797	694	718	306	850	578
acuC	MRSA_MW2_contig_1	1284916	1286085	+	1170	1415	994	1194	710	1492	1150
ccpA	MRSA_MW2_contig_1	1286183	1287172	-	990	11668	9906	12769	13592	17857	19669
aroF	MRSA_MW2_contig_1	1287712	1288803	-	1092	18786	15620	19020	6681	14740	12323
DBIAII_01237	MRSA_MW2_contig_1	1289503	1290867	-	1365	46653	35242	44784	10511	19845	16185
DBIAII_01238	MRSA_MW2_contig_1	1290941	1291432	-	492	55332	44360	53137	14381	31730	19423
murC	MRSA_MW2_contig_1	1291506	1292819	-	1314	38514	30379	36733	21422	31702	39657
DBIAII_01241	MRSA_MW2_contig_1	1296688	1297284	-	597	6926	5646	7303	4420	4542	6914
ytpQ	MRSA_MW2_contig_1	1297313	1298170	-	858	8401	6883	9250	6074	6651	9225
cnoX	MRSA_MW2_contig_1	1298270	1298581	-	312	2891	2572	3114	1593	3221	2105
ytzB	MRSA_MW2_contig_1	1299806	1300120	+	315	4246	3792	4925	3151	7519	5207
trmB	MRSA_MW2_contig_1	1301557	1302201	-	645	17425	13681	18088	13198	13742	23838
cotS	MRSA_MW2_contig_1	1302216	1303007	-	792	31042	25481	31878	22925	26737	39186
dat	MRSA_MW2_contig_1	1303558	1304406	-	849	21149	17511	22494	9967	22732	17181
sapep	MRSA_MW2_contig_1	1304410	1305819	-	1410	26318	21614	28225	12970	29075	18855
ytxH	MRSA_MW2_contig_1;MRSA_MW2_contig_1	1306511;1449773	1306933;1450048	-;+	699	27924	23425	27963	7991	17000	11480
DBIAII_01253	MRSA_MW2_contig_1	1306950	1307645	-	696	7468	6118	7994	4327	6722	7716
spoVB	MRSA_MW2_contig_1;MRSA_MW2_contig_1	1307642;2804689	1309303;2806215	-;+	3189	26108	21261	27054	16037	24407	24215
yhiN	MRSA_MW2_contig_1	1309710	1310978	+	1269	6239	5177	6745	3186	4687	5976
sasC	MRSA_MW2_contig_1	1311095	1317655	-	6561	2672	2025	2500	9388	10417	17033
leuS	MRSA_MW2_contig_1	1318314	1320737	-	2424	36988	30303	37635	20080	33309	31619
araJ	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	1321025;1882745;1886238;1995596;1799927;1972105	1322206;1884676;1887446;1996783;1801138;1973316	-;-;-;-;+;+	7935	49753	41207	51000	29558	31249	46338
yhcC	MRSA_MW2_contig_1	1322316	1323269	+	954	6229	4979	6566	4088	3852	6475
mnmM	MRSA_MW2_contig_1	1323266	1323829	+	564	5606	4291	5378	3572	3627	5956
rot	MRSA_MW2_contig_1	1323949	1324350	-	402	3146	3184	3944	6568	15644	10067
putA	MRSA_MW2_contig_1	1325985	1326986	+	1002	2942	2089	2680	1254	1599	2301
ribE	MRSA_MW2_contig_1;MRSA_MW2_contig_1	1327108;1328777	1327572;1329409	-;-	1098	4232	2679	3587	1337	3066	2972
ribBA	MRSA_MW2_contig_1	1327585	1328766	-	1182	6948	4387	5694	2011	4839	4957
ribD	MRSA_MW2_contig_1	1329416	1330459	-	1044	8944	6209	7855	2358	5738	5543
ydhS	MRSA_MW2_contig_1	1330940	1332442	-	1503	3344	2495	3239	1368	3039	1934
arsR	MRSA_MW2_contig_1	1332965	1333279	+	315	572	446	517	529	588	1054
arsB	MRSA_MW2_contig_1	1333279	1334571	+	1293	1258	1060	1334	1294	1155	2322
lytD	MRSA_MW2_contig_1;MRSA_MW2_contig_1	1334658;1836585	1335512;1837361	-;-	1632	23780	21068	27222	21447	30344	37329
DBIAII_01273	MRSA_MW2_contig_1	1335788	1336012	-	225	2905	2297	2941	1704	2849	3056
sigS	MRSA_MW2_contig_1	1336211	1336681	+	471	1633	1270	1576	1338	1397	2302
DBIAII_01276	MRSA_MW2_contig_1	1337224	1337667	-	444	3014	2758	3281	2229	3020	3378
sdpA	MRSA_MW2_contig_1	1337963	1338598	+	636	3843	3012	3433	3506	4012	5965
talA	MRSA_MW2_contig_1	1339038	1339751	-	714	11241	8959	11968	8540	13851	13404
DBIAII_01279	MRSA_MW2_contig_1	1340011	1340313	+	303	1814	1778	2091	1141	1817	1796
crcB	MRSA_MW2_contig_1	1340569	1340934	+	366	1048	872	1015	669	691	1107
fluC2	MRSA_MW2_contig_1	1340931	1341284	+	354	609	538	608	457	529	704
DBIAII_01283	MRSA_MW2_contig_1	1342712	1343620	-	909	20146	16999	21435	13776	30265	25321
metK	MRSA_MW2_contig_1	1343745	1344938	-	1194	31716	27145	33087	15056	19400	28770
pckA	MRSA_MW2_contig_1	1345310	1346902	+	1593	3272	2873	3584	2454	2785	2913
dAP2	MRSA_MW2_contig_1	1347280	1348050	-	771	2049	1505	1948	1296	1584	1769
ytkD	MRSA_MW2_contig_1	1348031	1348510	-	480	955	658	907	583	671	791
yidD	MRSA_MW2_contig_1	1348570	1348827	+	258	2414	2167	2830	1557	3521	2662
menC	MRSA_MW2_contig_1	1348824	1349825	-	1002	2516	1697	2343	1507	2240	1972
menE	MRSA_MW2_contig_1	1349830	1351308	-	1479	3869	2801	3881	2323	3824	3126
DBIAII_01291	MRSA_MW2_contig_1	1351467	1351949	-	483	222	216	290	166	339	491
DBIAII_01292	MRSA_MW2_contig_1	1352261	1352875	+	615	9275	7139	9207	8177	14238	11635
DBIAII_01293	MRSA_MW2_contig_1	1352956	1353951	+	996	9186	6578	9236	9103	14901	10782
DBIAII_01294	MRSA_MW2_contig_1	1354025	1354651	+	627	1390	1170	1361	1386	1217	1926
DBIAII_01295	MRSA_MW2_contig_1	1354692	1355033	+	342	521	437	465	520	543	632
DBIAII_01296	MRSA_MW2_contig_1	1355134	1355706	+	573	1580	1232	1430	1047	1494	1951
irrE	MRSA_MW2_contig_1	1355994	1356461	-	468	632	482	550	537	531	887
DBIAII_01298	MRSA_MW2_contig_1	1356835	1357011	-	177	54	33	54	30	48	50
DBIAII_01299	MRSA_MW2_contig_1	1357022	1357405	-	384	716	577	850	370	758	593
DBIAII_01300	MRSA_MW2_contig_1	1358009	1358152	-	144	796	609	861	296	895	791
DBIAII_01302	MRSA_MW2_contig_1	1359023	1359400	-	378	2363	1942	2228	1209	1459	2327
DBIAII_01303	MRSA_MW2_contig_1	1359921	1364033	-	4113	7376	6467	7473	4166	5599	7813
DBIAII_01304	MRSA_MW2_contig_1	1364883	1366082	-	1200	4102	3097	4094	2073	3610	3626
hsdM	MRSA_MW2_contig_1	1366075	1367631	-	1557	5072	4244	4999	2484	4930	3427
splF	MRSA_MW2_contig_1	1367994	1368713	-	720	481	358	421	328	393	449
splC	MRSA_MW2_contig_1	1368834	1369553	-	720	427	248	319	185	195	252
splB	MRSA_MW2_contig_1	1369611	1370333	-	723	231	196	238	119	103	156
splA	MRSA_MW2_contig_1	1370458	1371165	-	708	249	153	185	64	79	115
DBIAII_01310	MRSA_MW2_contig_1	1372129	1372695	+	567	507	389	530	200	294	369
DBIAII_01311	MRSA_MW2_contig_1	1373169	1373867	-	699	1069	941	1101	276	620	416
DBIAII_01312	MRSA_MW2_contig_1	1373864	1374625	-	762	800	571	659	159	523	266
DBIAII_01313	MRSA_MW2_contig_1	1374622	1375314	-	693	725	505	586	131	423	148
DBIAII_01314	MRSA_MW2_contig_1	1375337	1376710	-	1374	704	413	516	169	466	285
DBIAII_01315	MRSA_MW2_contig_1	1376720	1377238	-	519	117	61	84	37	50	47
epiC	MRSA_MW2_contig_1	1377254	1378498	-	1245	240	161	216	99	155	153
epiB	MRSA_MW2_contig_1	1378491	1381484	-	2994	841	612	710	356	891	629
DBIAII_01318	MRSA_MW2_contig_1	1381549	1381692	-	144	88	50	116	51	114	89
lukD	MRSA_MW2_contig_1	1382814	1383797	-	984	176	132	161	166	209	338
lukE	MRSA_MW2_contig_1	1383799	1384734	-	936	138	92	124	178	214	260
DBIAII_01322	MRSA_MW2_contig_1	1385631	1386086	+	456	242	171	210	414	758	798
DBIAII_01323	MRSA_MW2_contig_1	1386099	1386887	+	789	5082	4315	5184	2923	7953	6961
ydeN	MRSA_MW2_contig_1	1389344	1389898	-	555	3884	3351	4252	2373	4594	4659
hemY	MRSA_MW2_contig_1	1390220	1391620	-	1401	15868	13152	17465	8910	14611	15526
hemH	MRSA_MW2_contig_1	1391644	1392567	-	924	9852	7822	10394	4573	6363	8381
hemE	MRSA_MW2_contig_1	1392625	1393662	-	1038	12291	10272	13326	5576	8311	10150
traP	MRSA_MW2_contig_1	1393925	1394428	+	504	21786	18412	23656	12661	32737	27192
ecsB	MRSA_MW2_contig_1	1394552	1395775	-	1224	14748	12550	16092	6687	16187	12006
hinT	MRSA_MW2_contig_1	1396642	1397064	+	423	6711	5948	7511	5090	11347	8805
yhaH	MRSA_MW2_contig_1	1397206	1397571	+	366	22749	17506	21608	7047	17721	10489
DBIAII_01342	MRSA_MW2_contig_1	1398304	1398861	+	558	1689	1381	1698	1224	2235	2246
prsA	MRSA_MW2_contig_1	1399066	1400028	+	963	16251	12495	16240	17281	44728	40995
yhaM	MRSA_MW2_contig_1	1400149	1401090	-	942	23120	19880	25284	10204	15609	16836
yhaN	MRSA_MW2_contig_1	1401087	1404023	-	2937	58953	48232	62924	23599	41399	40700
yheB	MRSA_MW2_contig_1	1406504	1407628	-	1125	7560	6732	8633	3326	3487	6028
xRE	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	1407807;2276944;2495463;2659182	1408271;2277513;2495660;2659385	-;-;+;+	1437	22121	20334	25223	18469	20104	33303
fumC	MRSA_MW2_contig_1	1411829	1413214	-	1386	12753	9658	13128	6801	12004	10572
DBIAII_01354	MRSA_MW2_contig_1	1413410	1413805	-	396	1944	1748	2297	1323	1874	2270
DBIAII_01356	MRSA_MW2_contig_1	1414411	1414563	-	153	2531	2055	2631	904	2051	1085
trmL	MRSA_MW2_contig_1	1415346	1415816	-	471	2796	2426	2968	1519	2275	2986
queG	MRSA_MW2_contig_1	1415821	1416948	-	1128	5035	3868	5241	2499	3209	4449
ehuA	MRSA_MW2_contig_1	1417099	1417827	-	729	19543	14664	20848	1957	3969	1395
hisJ	MRSA_MW2_contig_1;MRSA_MW2_contig_1	1417814;1948542	1419271;1949321	-;-	2238	89356	72927	93200	33231	34800	48173
pfoR	MRSA_MW2_contig_1;MRSA_MW2_contig_1	1419529;2123118	1420590;2124173	-;-	2118	11134	10218	12332	3445	5641	5461
perR	MRSA_MW2_contig_1	1429538	1429984	-	447	25780	22906	28880	14388	27608	25351
bcp	MRSA_MW2_contig_1	1431037	1431492	-	456	2361	1985	2562	1320	3241	2043
hemL1	MRSA_MW2_contig_1	1431573	1432862	+	1290	13167	10225	13311	4629	9172	8065
ygaC	MRSA_MW2_contig_1	1436468	1437010	-	543	5632	4987	6953	3250	5068	5689
mutY	MRSA_MW2_contig_1	1437312	1438349	-	1038	2153	1899	2379	1719	1482	2422
ybcI	MRSA_MW2_contig_1;MRSA_MW2_contig_1	1438501;1727627	1439478;1728142	+;-	1494	13518	11546	14807	5617	15289	11160
DBIAII_01404	MRSA_MW2_contig_1	1439739	1440575	-	837	7223	5969	7787	4598	9209	8509
DBIAII_01406	MRSA_MW2_contig_1	1442116	1442430	-	315	694	585	832	463	902	679
recX	MRSA_MW2_contig_1	1442408	1443226	-	819	2293	1967	2540	956	2346	1712
sgtB	MRSA_MW2_contig_1	1443487	1444296	-	810	6249	5475	6780	4672	10290	10584
yajL	MRSA_MW2_contig_1	1444635	1445150	-	516	15449	12380	16267	5797	12312	9890
DBIAII_01410	MRSA_MW2_contig_1	1445281	1445442	-	162	6582	5002	6360	2666	5672	5898
yfkAB	MRSA_MW2_contig_1	1445666	1446817	+	1152	9499	7688	9468	5539	9811	11397
yciA	MRSA_MW2_contig_1	1447077	1447607	-	531	12323	10255	12853	5045	10133	8542
ampS	MRSA_MW2_contig_1	1447696	1448943	-	1248	16734	13452	17897	7058	13791	10448
yfkK	MRSA_MW2_contig_1	1448955	1449161	-	207	525	421	574	238	564	362
ptpA	MRSA_MW2_contig_1	1449302	1449766	+	465	16061	13082	17941	3975	10328	5613
brkB	MRSA_MW2_contig_1	1450326	1451537	+	1212	28065	22702	29741	4498	8524	5773
vraR	MRSA_MW2_contig_1	1451649	1452278	-	630	8277	6766	9361	6290	12228	12123
vraS	MRSA_MW2_contig_1	1452268	1453311	-	1044	7513	6629	8513	5204	10058	10224
liaF	MRSA_MW2_contig_1	1453308	1454009	-	702	4818	3861	5315	3000	5886	5844
DBIAII_01421	MRSA_MW2_contig_1	1454024	1454410	-	387	2756	2209	2929	1456	3188	3199
map	MRSA_MW2_contig_1	1454627	1455385	-	759	21345	18537	24277	10556	23276	17933
DBIAII_01426	MRSA_MW2_contig_1	1457392	1457805	-	414	270	267	326	298	488	419
gatD	MRSA_MW2_contig_1	1458031	1458762	-	732	10841	9459	12178	5871	7901	10081
murT	MRSA_MW2_contig_1	1458764	1460077	-	1314	20310	18111	23522	10408	14162	17094
ftnA	MRSA_MW2_contig_1	1460369	1460869	+	501	77775	72250	99657	11034	9434	15416
dnaQ	MRSA_MW2_contig_1	1461259	1461813	+	555	3526	3066	4060	2713	4371	4613
dinB	MRSA_MW2_contig_1	1461880	1462950	-	1071	1207	1102	1486	1299	1794	1740
DBIAII_01432	MRSA_MW2_contig_1	1463197	1463727	-	531	3139	2610	3049	2129	2608	4468
rlmD	MRSA_MW2_contig_1	1463897	1465258	-	1362	6837	5526	7317	4712	4987	8213
dagK	MRSA_MW2_contig_1	1465339	1466286	-	948	6689	5690	7520	4467	7178	5801
gatB	MRSA_MW2_contig_1	1466940	1468367	-	1428	71294	57883	69055	42168	58001	70125
gatA	MRSA_MW2_contig_1	1468380	1469837	-	1458	68798	55139	68115	37187	49809	71204
gatC	MRSA_MW2_contig_1	1469839	1470141	-	303	7998	6631	8581	5632	6756	8889
putP	MRSA_MW2_contig_1;MRSA_MW2_contig_1	1470508;2622981	1472046;2624513	+;-	3072	18012	15550	19312	7785	7909	8002
camS	MRSA_MW2_contig_1	1472135	1473334	-	1200	18056	14771	18503	11895	17346	19582
ligA	MRSA_MW2_contig_1	1473347	1475350	-	2004	18180	14412	19285	12596	14524	18095
pcrA	MRSA_MW2_contig_1	1475354	1477546	-	2193	15624	12561	15952	10051	11843	15383
pcrB	MRSA_MW2_contig_1	1477543	1478235	-	693	4244	3549	4552	2685	4544	4328
yerC	MRSA_MW2_contig_1	1478407	1478709	-	303	5826	5200	6598	3075	7946	4816
purB	MRSA_MW2_contig_1	1478818	1480113	-	1296	20052	18583	23535	13010	20309	17391
DBIAII_01447	MRSA_MW2_contig_1	1482171	1482497	+	327	1125	875	920	556	934	1019
DBIAII_01448	MRSA_MW2_contig_1	1482789	1482962	-	174	665	599	720	491	631	755
yebE	MRSA_MW2_contig_1	1482943	1483545	-	603	8921	7962	9830	5541	7689	8864
nadE	MRSA_MW2_contig_1	1483816	1484637	-	822	11959	9715	12414	4416	10810	7612
pncB	MRSA_MW2_contig_1	1484630	1486099	-	1470	16457	13392	17331	6145	16986	10011
nos	MRSA_MW2_contig_1	1486283	1487359	+	1077	11572	9710	12315	2838	9685	6093
pheA2	MRSA_MW2_contig_1	1487379	1488173	+	795	8211	6985	9050	2376	7062	4828
sdcS	MRSA_MW2_contig_1	1488363	1489925	-	1563	6784	5406	7260	2882	3652	3745
DBIAII_01455	MRSA_MW2_contig_1	1490130	1491227	-	1098	2077	1554	1944	775	1649	1116
pncA	MRSA_MW2_contig_1;MRSA_MW2_contig_1	1491599;2208252	1492159;2208812	+;-	1122	27678	23272	28781	9909	21032	19002
ppaC	MRSA_MW2_contig_1	1492212	1493141	+	930	40848	35737	45264	28686	55226	44085
aldH1	MRSA_MW2_contig_1	1493561	1494940	+	1380	9856	7848	10214	4789	8068	7457
pgl	MRSA_MW2_contig_1	1495060	1496088	-	1029	9216	7681	9693	6697	13602	11077
DBIAII_01460	MRSA_MW2_contig_1	1496358	1496759	+	402	1422	1296	1357	1154	1844	1814
DBIAII_01462	MRSA_MW2_contig_1	1497332	1497505	-	174	2287	2033	2408	2860	6885	3746
DBIAII_01463	MRSA_MW2_contig_1	1497884	1498996	+	1113	3610	3115	3663	1718	2946	3046
DBIAII_01464	MRSA_MW2_contig_1	1499053	1499895	-	843	8136	6712	8432	4850	9681	9412
DBIAII_01465	MRSA_MW2_contig_1	1499892	1500449	-	558	2471	2203	2669	1754	3289	2608
DBIAII_01466	MRSA_MW2_contig_1	1500509	1501033	-	525	3591	3017	3683	2417	4957	3873
DBIAII_01467	MRSA_MW2_contig_1	1501154	1501717	+	564	8305	6956	8879	4797	12855	7037
pmtD	MRSA_MW2_contig_1	1501783	1502523	-	741	6333	4464	4624	3027	4789	5836
pmtC	MRSA_MW2_contig_1	1502523	1503395	-	873	7622	5222	6165	3546	4436	6512
pmtB	MRSA_MW2_contig_1	1503392	1504072	-	681	2868	1942	2281	1579	1711	2656
pmtA	MRSA_MW2_contig_1	1504073	1504969	-	897	6156	4060	5051	3124	3496	5614
gntR	MRSA_MW2_contig_1;MRSA_MW2_contig_1	1504966;2051557	1505346;2052237	-;-	1062	2528	1905	2576	1694	1696	2464
DBIAII_01473	MRSA_MW2_contig_1	1505605	1505781	-	177	456	416	353	479	715	584
DBIAII_01475	MRSA_MW2_contig_1	1507932	1508222	-	291	253	242	277	77	300	252
eap	MRSA_MW2_contig_1	1508237	1509982	-	1746	1885	1542	1923	520	2059	1956
DBIAII_01477	MRSA_MW2_contig_1	1510368	1510568	+	201	1458	919	1176	200	579	765
DBIAII_01478	MRSA_MW2_contig_1	1511045	1511119	+	75	4429	3473	3743	2541	4109	6260
scn	MRSA_MW2_contig_1	1511743	1512093	-	351	31283	23413	26597	3002	20278	28099
DBIAII_01481	MRSA_MW2_contig_1	1512605	1512901	-	297	3575	2908	3516	3098	3632	4841
sak	MRSA_MW2_contig_1	1513591	1514082	-	492	2188	1932	2268	699	1455	1043
DBIAII_01484	MRSA_MW2_contig_1	1514273	1515028	-	756	47	29	58	69	113	58
DBIAII_01485	MRSA_MW2_contig_1	1515040	1515294	-	255	28	21	20	48	33	33
sea	MRSA_MW2_contig_1	1515791	1516564	-	774	6413	5855	7394	1697	2150	2302
DBIAII_01488	MRSA_MW2_contig_1	1516937	1517311	-	375	56	77	69	90	109	70
DBIAII_01489	MRSA_MW2_contig_1	1517367	1517654	-	288	52	46	73	44	87	100
DBIAII_01490	MRSA_MW2_contig_1	1517700	1517852	-	153	3	1	1	2	3	7
DBIAII_01491	MRSA_MW2_contig_1	1517845	1521627	-	3783	1500	1219	1573	1098	1502	1444
DBIAII_01492	MRSA_MW2_contig_1	1521643	1523133	-	1491	205	130	156	208	216	217
DBIAII_01493	MRSA_MW2_contig_1	1523133	1527782	-	4650	739	548	821	855	1091	816
DBIAII_01494	MRSA_MW2_contig_1	1528020	1528466	-	447	38	30	39	64	52	56
DBIAII_01495	MRSA_MW2_contig_1	1528531	1529484	-	954	412	381	505	472	669	504
DBIAII_01496	MRSA_MW2_contig_1	1529485	1529865	-	381	39	52	62	52	49	64
DBIAII_01497	MRSA_MW2_contig_1	1529862	1530239	-	378	116	49	116	85	115	106
DBIAII_01498	MRSA_MW2_contig_1	1530239	1530574	-	336	86	43	98	115	116	82
DBIAII_01499	MRSA_MW2_contig_1	1530561	1530893	-	333	41	24	47	52	58	38
DBIAII_01500	MRSA_MW2_contig_1	1530902	1531060	-	159	5	7	6	15	17	7
DBIAII_01501	MRSA_MW2_contig_1	1531096	1532343	-	1248	288	276	354	323	461	277
DBIAII_01502	MRSA_MW2_contig_1	1532431	1533015	-	585	890	721	845	517	675	798
DBIAII_01503	MRSA_MW2_contig_1	1533008	1534258	-	1251	485	443	518	336	615	513
DBIAII_01504	MRSA_MW2_contig_1	1534264	1534503	-	240	6	1	1	0	2	5
DBIAII_01505	MRSA_MW2_contig_1	1534478	1536172	-	1695	384	268	319	382	351	389
DBIAII_01506	MRSA_MW2_contig_1	1536175	1536642	-	468	92	99	115	101	78	94
DBIAII_01507	MRSA_MW2_contig_1	1536771	1537124	-	354	95	56	69	63	118	83
DBIAII_01508	MRSA_MW2_contig_1	1537131	1537583	-	453	34	38	49	71	62	48
DBIAII_01509	MRSA_MW2_contig_1	1537698	1538168	-	471	885	753	890	480	963	952
DBIAII_01510	MRSA_MW2_contig_1	1538191	1538394	-	204	66	43	42	35	65	60
DBIAII_01511	MRSA_MW2_contig_1	1538391	1539041	-	651	342	316	305	233	548	450
DBIAII_01512	MRSA_MW2_contig_1	1539048	1539200	-	153	2	1	6	4	0	4
rinB	MRSA_MW2_contig_1	1539200	1539349	-	150	7	3	3	2	6	3
DBIAII_01514	MRSA_MW2_contig_1	1539363	1539677	-	315	19	21	48	21	13	17
rusA	MRSA_MW2_contig_1	1539690	1540094	-	405	52	26	58	50	54	52
DBIAII_01516	MRSA_MW2_contig_1	1540103	1540321	-	219	7	1	12	5	1	9
ssb	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	1541251;1642422;2676734	1541721;1642817;2677237	-;-;+	1371	188479	161350	179293	118259	119749	215326
phnP	MRSA_MW2_contig_1;MRSA_MW2_contig_1	1541722;2314778	1542207;2315569	-;+	1278	10836	9130	10969	5699	8812	9874
DBIAII_01520	MRSA_MW2_contig_1	1542420	1543340	-	921	136	105	131	111	133	136
DBIAII_01521	MRSA_MW2_contig_1	1543342	1545291	-	1950	267	183	231	150	276	199
DBIAII_01522	MRSA_MW2_contig_1	1545294	1545557	-	264	25	9	18	12	26	18
DBIAII_01523	MRSA_MW2_contig_1	1545566	1545826	-	261	30	25	20	53	110	68
DBIAII_01524	MRSA_MW2_contig_1	1545919	1546080	-	162	60	40	47	59	39	62
DBIAII_01525	MRSA_MW2_contig_1	1546077	1546397	-	321	87	81	71	78	82	60
DBIAII_01526	MRSA_MW2_contig_1	1546456	1547088	+	633	5519	4923	5344	2433	5784	6176
DBIAII_01527	MRSA_MW2_contig_1	1547103	1547243	-	141	227	199	216	86	199	229
DBIAII_01528	MRSA_MW2_contig_1	1547274	1547471	-	198	37	24	42	26	32	52
DBIAII_01529	MRSA_MW2_contig_1	1547487	1548236	-	750	69	40	67	85	87	108
DBIAII_01530	MRSA_MW2_contig_1	1548293	1548832	+	540	8947	7654	9357	6190	14600	12236
DBIAII_01531	MRSA_MW2_contig_1	1548856	1549116	-	261	48	35	48	72	110	64
DBIAII_01532	MRSA_MW2_contig_1	1549134	1549358	-	225	10	11	14	19	37	31
DBIAII_01533	MRSA_MW2_contig_1	1549517	1550287	+	771	6349	5536	7125	4525	9090	7390
seq	MRSA_MW2_contig_1	1550483	1551211	+	729	4012	3801	4462	3206	5641	5219
sek	MRSA_MW2_contig_1	1551235	1551963	+	729	6821	5653	7641	4633	8709	8870
DBIAII_01536	MRSA_MW2_contig_1	1552047	1553084	+	1038	1764	1566	1983	2168	1829	3634
sph	MRSA_MW2_contig_1	1553141	1553965	+	825	1501	1316	1810	1946	1582	3314
lukG	MRSA_MW2_contig_1	1554203	1555219	-	1017	7893	7298	9513	350	3303	3964
lukH	MRSA_MW2_contig_1	1555241	1556293	-	1053	10338	9124	11480	361	3879	5307
dapE	MRSA_MW2_contig_1	1556729	1557952	+	1224	2115	1715	2243	877	1707	986
DBIAII_01541	MRSA_MW2_contig_1	1558324	1559169	-	846	252	266	302	231	319	457
DBIAII_01542	MRSA_MW2_contig_1	1559231	1560142	-	912	347	275	350	274	413	496
DBIAII_01544	MRSA_MW2_contig_1	1562464	1562907	-	444	1542	1367	1809	624	1017	911
DBIAII_01545	MRSA_MW2_contig_1	1563013	1563531	-	519	861	821	996	354	510	418
xtmA	MRSA_MW2_contig_1	1563767	1564357	-	591	517	501	577	419	373	377
groL	MRSA_MW2_contig_1	1565268	1566884	-	1617	39076	35698	46609	38682	47254	34804
groES	MRSA_MW2_contig_1	1566960	1567244	-	285	3533	2721	4278	3905	5161	3431
mroQ	MRSA_MW2_contig_1	1567419	1568162	+	744	11244	9967	12837	5813	13548	11439
sdrH	MRSA_MW2_contig_1	1568187	1569446	-	1260	7697	6746	8269	4555	8098	8056
fMR2	MRSA_MW2_contig_1	1569643	1570269	+	627	1873	1659	1993	1347	2126	2045
nifR	MRSA_MW2_contig_1	1570439	1570507	-	69	513	543	578	399	632	678
yafV	MRSA_MW2_contig_1	1570630	1571415	+	786	3952	2855	3331	1667	2891	2542
hld	MRSA_MW2_contig_1	1572014	1572148	-	135	154519	92298	118664	2061	289	331
agrB	MRSA_MW2_contig_1	1572330	1572947	+	618	151082	114661	138912	10506	4475	3658
agrD	MRSA_MW2_contig_1	1572951	1573091	+	141	1274	1365	1407	174	84	80
natK	MRSA_MW2_contig_1	1573116	1574408	+	1293	199495	155925	180173	14722	6643	4680
agrA	MRSA_MW2_contig_1	1574427	1575143	+	717	136034	108456	130010	11624	7747	5203
rbsK	MRSA_MW2_contig_1;MRSA_MW2_contig_1	1575512;2576391	1576471;2577305	-;-	1875	7159	5887	7623	4620	7892	6355
sacC	MRSA_MW2_contig_1	1576468	1577952	-	1485	11157	8570	11382	6745	11599	10376
amtB	MRSA_MW2_contig_1	1579234	1580484	-	1251	760	483	554	374	692	525
tusA	MRSA_MW2_contig_1	1580692	1580916	-	225	418	341	438	968	765	1160
yedE	MRSA_MW2_contig_1	1580976	1582055	-	1080	1718	1397	1940	4325	3445	6000
rex	MRSA_MW2_contig_1	1582359	1582994	-	636	11017	10173	12288	12315	19254	18512
abc-f	MRSA_MW2_contig_1	1583247	1585175	+	1929	9631	8565	10278	5496	8253	9724
tsaD	MRSA_MW2_contig_1	1587249	1588274	-	1026	10859	9428	12742	7748	7349	13638
tsaB	MRSA_MW2_contig_1	1588704	1589366	-	663	4233	3528	4670	2753	2975	5294
tsaE	MRSA_MW2_contig_1	1589347	1589841	-	495	4414	3666	4731	2802	4112	5640
ilvD	MRSA_MW2_contig_1	1590319	1592007	+	1689	787	599	756	269	312	165
ilvB	MRSA_MW2_contig_1;MRSA_MW2_contig_1	1592035;2085794	1593804;2087533	+;-	3510	25756	20851	28497	13060	16592	14096
ilvH	MRSA_MW2_contig_1	1593804	1594058	+	255	33	28	39	9	16	5
ilvC	MRSA_MW2_contig_1	1594195	1595199	+	1005	140	74	136	32	34	23
