# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-T" "8" "-t" "CDS" "-g" "gene_name" "-a" "ref/LacFitz_annotation/LacFitz_assembly.gtf" "-o" "LacFitz_transcripts.txt" "mapping/L-A_S491_L006_vs_LacFitz.sorted.bam" "mapping/L-B_S492_L006_vs_LacFitz.sorted.bam" "mapping/L-C_S493_L006_vs_LacFitz.sorted.bam" "mapping/LplusA_S498_L006_vs_LacFitz.sorted.bam" "mapping/LplusB_S499_L006_vs_LacFitz.sorted.bam" "mapping/LplusC_S500_L006_vs_LacFitz.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	mapping/L-A_S491_L006_vs_LacFitz.sorted.bam	mapping/L-B_S492_L006_vs_LacFitz.sorted.bam	mapping/L-C_S493_L006_vs_LacFitz.sorted.bam	mapping/LplusA_S498_L006_vs_LacFitz.sorted.bam	mapping/LplusB_S499_L006_vs_LacFitz.sorted.bam	mapping/LplusC_S500_L006_vs_LacFitz.sorted.bam
arsR	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_2	1345178;22405	1345492;22752	+;+	663	438	411	429	437	385	423
arsB	MRSA_LacFitz_contig_1	1345492	1346784	+	1293	1130	1206	1453	1253	1165	1283
lytD	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	1347492;1867063	1348346;1867839	-;-	1632	28973	32303	34556	26050	27371	23593
PBCCJM_01295	MRSA_LacFitz_contig_1	1348622	1348846	-	225	3497	3639	4860	1536	1924	2350
sigS	MRSA_LacFitz_contig_1	1349045	1349515	+	471	835	863	1069	389	566	624
PBCCJM_01298	MRSA_LacFitz_contig_1	1350058	1350501	-	444	2191	2270	2741	964	1287	1308
sdpA	MRSA_LacFitz_contig_1	1350797	1351432	+	636	370	389	488	246	255	393
talA	MRSA_LacFitz_contig_1	1351872	1352585	-	714	11753	12788	15065	14333	13042	14770
PBCCJM_01301	MRSA_LacFitz_contig_1	1352845	1353147	+	303	1164	1386	1515	711	959	1013
crcB	MRSA_LacFitz_contig_1	1353403	1353768	+	366	819	868	1080	438	534	521
fluC2	MRSA_LacFitz_contig_1	1353765	1354118	+	354	324	443	417	231	243	254
PBCCJM_01305	MRSA_LacFitz_contig_1	1354673	1355497	+	825	21	19	31	10	19	13
PBCCJM_01306	MRSA_LacFitz_contig_1	1355530	1356138	+	609	29	21	36	17	16	19
PBCCJM_01308	MRSA_LacFitz_contig_1	1357246	1358154	-	909	15859	14272	18349	12561	12666	14187
metK	MRSA_LacFitz_contig_1	1358279	1359472	-	1194	25412	23109	30193	21038	21303	20176
pckA	MRSA_LacFitz_contig_1	1359843	1361435	+	1593	2856	2095	3470	3812	2306	4633
dAP2	MRSA_LacFitz_contig_1	1362431	1363201	-	771	1934	1793	2456	1875	2080	1837
ytkD	MRSA_LacFitz_contig_1	1363182	1363661	-	480	642	622	727	639	596	583
yidD	MRSA_LacFitz_contig_1	1363721	1363978	+	258	2271	2428	3131	2041	1914	1887
menC	MRSA_LacFitz_contig_1	1363975	1364976	-	1002	2203	2046	2858	2045	1889	2086
menE	MRSA_LacFitz_contig_1	1364981	1366459	-	1479	2801	2662	3564	2889	2565	2629
PBCCJM_01317	MRSA_LacFitz_contig_1	1366618	1367100	-	483	221	287	255	965	970	624
PBCCJM_01318	MRSA_LacFitz_contig_1	1367412	1368026	+	615	6492	6429	10063	3119	2557	6400
PBCCJM_01319	MRSA_LacFitz_contig_1	1368107	1369102	+	996	6179	6311	9134	3339	2519	6764
PBCCJM_01320	MRSA_LacFitz_contig_1	1369178	1369333	+	156	149	145	218	58	49	133
PBCCJM_01321	MRSA_LacFitz_contig_1	1369334	1369804	+	471	323	303	481	116	127	317
PBCCJM_01322	MRSA_LacFitz_contig_1	1369845	1370189	+	345	272	255	345	92	65	231
PBCCJM_01323	MRSA_LacFitz_contig_1	1370287	1370838	+	552	738	631	872	228	204	540
irrE	MRSA_LacFitz_contig_1	1371056	1371697	-	642	648	625	704	2548	2350	1995
PBCCJM_01325	MRSA_LacFitz_contig_1	1371998	1372174	-	177	86	96	133	51	59	51
PBCCJM_01326	MRSA_LacFitz_contig_1	1372185	1372568	-	384	577	651	836	416	499	466
PBCCJM_01327	MRSA_LacFitz_contig_1	1373172	1373315	-	144	703	732	1075	538	529	599
PBCCJM_01329	MRSA_LacFitz_contig_1	1374185	1374562	-	378	1944	2010	2431	1683	1609	1700
PBCCJM_01330	MRSA_LacFitz_contig_1	1375083	1379195	-	4113	7013	7163	9859	6306	6124	5886
PBCCJM_01331	MRSA_LacFitz_contig_1	1380045	1381244	-	1200	3681	3143	4701	3381	3707	3287
PBCCJM_01332	MRSA_LacFitz_contig_1	1381237	1382793	-	1557	6071	5117	7390	5832	5353	5444
splF	MRSA_LacFitz_contig_1	1383156	1383875	-	720	413	321	617	8732	5245	5101
splE	MRSA_LacFitz_contig_1	1384026	1384742	-	717	314	252	484	9077	5680	5110
splD	MRSA_LacFitz_contig_1	1384900	1385619	-	720	219	190	302	9003	5387	5368
splC	MRSA_LacFitz_contig_1	1385740	1386459	-	720	357	198	458	11413	6697	6417
splB	MRSA_LacFitz_contig_1	1386517	1387239	-	723	277	137	328	11022	6618	5804
splA	MRSA_LacFitz_contig_1	1387364	1388071	-	708	222	143	314	9580	5614	5008
PBCCJM_01339	MRSA_LacFitz_contig_1	1389035	1389601	+	567	416	268	531	198	171	372
PBCCJM_01340	MRSA_LacFitz_contig_1	1390075	1390773	-	699	707	643	830	254	299	273
PBCCJM_01341	MRSA_LacFitz_contig_1	1390770	1391531	-	762	503	461	738	201	214	179
PBCCJM_01342	MRSA_LacFitz_contig_1	1391528	1392220	-	693	479	354	527	106	143	122
PBCCJM_01343	MRSA_LacFitz_contig_1	1392243	1393616	-	1374	472	404	646	250	237	304
PBCCJM_01344	MRSA_LacFitz_contig_1	1393626	1394144	-	519	63	71	124	57	104	100
epiC	MRSA_LacFitz_contig_1	1394160	1395404	-	1245	174	164	265	154	132	185
epiB	MRSA_LacFitz_contig_1	1395397	1398390	-	2994	740	581	1034	716	744	889
PBCCJM_01347	MRSA_LacFitz_contig_1	1398455	1398598	-	144	92	78	93	106	78	95
lukD	MRSA_LacFitz_contig_1	1399720	1400703	-	984	142	131	163	2072	1473	1010
lukE	MRSA_LacFitz_contig_1	1400705	1401640	-	936	143	97	181	2242	1752	1224
PBCCJM_01351	MRSA_LacFitz_contig_1	1402523	1402978	+	456	123	131	176	423	362	479
PBCCJM_01352	MRSA_LacFitz_contig_1	1402991	1403632	+	642	3819	3971	5373	4088	3995	4326
ydeN	MRSA_LacFitz_contig_1	1406235	1406789	-	555	6490	7363	8901	4043	4256	3545
hemY	MRSA_LacFitz_contig_1	1407112	1408512	-	1401	15775	18088	21497	16041	15932	10239
hemH	MRSA_LacFitz_contig_1	1408536	1409459	-	924	10271	11176	13887	10918	11107	7060
hemE	MRSA_LacFitz_contig_1	1409517	1410554	-	1038	13029	14083	17756	14556	13757	9108
traP	MRSA_LacFitz_contig_1	1410817	1411320	+	504	21220	21390	28512	19158	19048	19169
ecsB	MRSA_LacFitz_contig_1	1411444	1412667	-	1224	15331	17405	21646	11064	11617	11837
hinT	MRSA_LacFitz_contig_1	1413534	1413956	+	423	8571	7959	10132	8598	7979	8055
yhaH	MRSA_LacFitz_contig_1	1414098	1414463	+	366	18353	14935	20755	7942	8176	7433
PBCCJM_01371	MRSA_LacFitz_contig_1	1415196	1415753	+	558	1377	1692	2160	1230	1295	1493
prsA	MRSA_LacFitz_contig_1	1415958	1416920	+	963	27080	26749	35223	32826	35357	41153
yhaM	MRSA_LacFitz_contig_1	1417041	1417982	-	942	20923	19545	26676	16323	16500	14484
yhaN	MRSA_LacFitz_contig_1	1417979	1420915	-	2937	55704	50633	71302	47271	49140	47854
yheB	MRSA_LacFitz_contig_1	1423286	1424410	-	1125	4229	4537	5553	2311	3107	2900
xRE	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_2	1424589;2308609;2718897;15920	1425053;2309178;2719100;16105	-;-;+;+	1425	20764	20995	21481	15957	16923	16295
fumC	MRSA_LacFitz_contig_1	1428613	1429998	-	1386	15044	10643	17025	18256	13214	17448
PBCCJM_01383	MRSA_LacFitz_contig_1	1430194	1430589	-	396	2698	2880	3315	2711	2696	2082
PBCCJM_01384	MRSA_LacFitz_contig_1	1431366	1431518	-	153	1982	1494	2090	704	852	670
trmL	MRSA_LacFitz_contig_1	1432301	1432771	-	471	2708	2520	3281	2227	2105	2041
queG	MRSA_LacFitz_contig_1	1432776	1433903	-	1128	5025	4290	5890	4148	3882	3894
ehuA	MRSA_LacFitz_contig_1	1434054	1434782	-	729	17974	9283	22285	12050	10225	11144
hisJ	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	1434769;1978681	1436226;1979460	-;-	2238	87660	64093	99453	32434	31744	45060
pfoR	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	1436484;2157164	1437545;2158219	-;-	2118	8754	8259	10405	7626	6885	5819
perR	MRSA_LacFitz_contig_1	1447813	1448259	-	447	20450	18099	23018	14341	15080	15199
bcp	MRSA_LacFitz_contig_1	1449312	1449767	-	456	2750	3142	3700	2277	2408	2480
hemL1	MRSA_LacFitz_contig_1	1449848	1451137	+	1290	12283	12294	16891	9926	9150	8579
ygaC	MRSA_LacFitz_contig_1	1454742	1455284	-	543	4893	4912	5881	4483	4703	4408
mutY	MRSA_LacFitz_contig_1	1455586	1456623	-	1038	1812	1866	2291	1407	1335	1448
ybcI	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	1456775;1748834	1457752;1749349	+;-	1494	13346	13549	18095	8973	8653	10263
PBCCJM_01434	MRSA_LacFitz_contig_1	1458013	1458849	-	837	6600	6633	8886	6874	6783	6956
PBCCJM_01436	MRSA_LacFitz_contig_1	1460390	1460704	-	315	677	619	797	647	642	635
recX	MRSA_LacFitz_contig_1	1460682	1461500	-	819	2581	2889	3702	1728	1692	1905
sgtB	MRSA_LacFitz_contig_1	1461761	1462570	-	810	5873	5571	7043	6895	6292	6922
yajL	MRSA_LacFitz_contig_1	1462911	1463426	-	516	15296	12735	18941	7094	7185	6912
PBCCJM_01440	MRSA_LacFitz_contig_1	1463557	1463718	-	162	6916	6549	9235	4467	4688	4748
yfkAB	MRSA_LacFitz_contig_1	1463942	1465093	+	1152	9534	9286	11758	7744	7396	6696
yciA	MRSA_LacFitz_contig_1	1465353	1465883	-	531	14082	13086	18856	9954	9699	9194
ampS	MRSA_LacFitz_contig_1	1465973	1467220	-	1248	18616	16810	24536	13255	12979	12653
yfkK	MRSA_LacFitz_contig_1	1467232	1467438	-	207	556	659	943	599	595	550
ptpA	MRSA_LacFitz_contig_1	1467579	1468043	+	465	11712	9169	13937	5652	5827	4824
brkB	MRSA_LacFitz_contig_1	1468603	1469820	+	1218	24962	18070	28866	2793	3522	3445
vraR	MRSA_LacFitz_contig_1	1469936	1470565	-	630	9157	9820	12515	7082	8105	9857
vraS	MRSA_LacFitz_contig_1	1470555	1471598	-	1044	8964	8834	10862	6754	7801	8795
liaF	MRSA_LacFitz_contig_1	1471595	1472296	-	702	5109	5363	6986	4370	4354	5207
PBCCJM_01451	MRSA_LacFitz_contig_1	1472311	1472697	-	387	3047	3030	3933	2386	2505	2701
map	MRSA_LacFitz_contig_1	1472914	1473672	-	759	21825	21988	27643	19131	17724	17776
PBCCJM_01456	MRSA_LacFitz_contig_1	1475675	1476088	-	414	264	290	330	178	242	230
gatD	MRSA_LacFitz_contig_1	1476313	1477044	-	732	12448	11697	14485	9081	9137	7336
murT	MRSA_LacFitz_contig_1	1477046	1478359	-	1314	22292	21674	26097	16599	17258	13404
ftnA	MRSA_LacFitz_contig_1	1478651	1479151	+	501	89739	66457	95852	31051	50448	12339
dnaQ	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	1479540;1568254	1480094;1569186	+;+	1488	8108	8326	10475	9902	9664	9230
dinB	MRSA_LacFitz_contig_1	1480162	1481232	-	1071	1195	1217	1483	1078	1164	1239
PBCCJM_01462	MRSA_LacFitz_contig_1	1481479	1482009	-	531	3167	3493	4544	2926	2854	2949
rlmD	MRSA_LacFitz_contig_1	1482179	1483540	-	1362	7127	7030	9758	4852	5371	7213
dagK	MRSA_LacFitz_contig_1	1483621	1484568	-	948	6863	6557	8412	5367	4971	7064
gatB	MRSA_LacFitz_contig_1	1485337	1486764	-	1428	59743	56277	64807	56259	51773	50667
gatA	MRSA_LacFitz_contig_1	1486777	1488234	-	1458	55495	55162	67176	52284	50829	45699
gatC	MRSA_LacFitz_contig_1	1488236	1488538	-	303	7905	8542	9299	7947	7574	6847
putP	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	1488905;2682536	1490443;2684068	+;-	3072	16843	13844	20540	19696	16930	16290
camS	MRSA_LacFitz_contig_1	1490532	1491731	-	1200	13828	14343	17580	13033	12779	12477
ligA	MRSA_LacFitz_contig_1	1491744	1493747	-	2004	15857	15963	19365	14158	14222	12679
pcrA	MRSA_LacFitz_contig_1	1493751	1495943	-	2193	14516	13933	18712	12605	13307	11332
pcrB	MRSA_LacFitz_contig_1	1495940	1496632	-	693	4099	4144	5464	3312	3579	3447
yerC	MRSA_LacFitz_contig_1	1496804	1497106	-	303	6557	5914	7042	4880	5418	5655
purB	MRSA_LacFitz_contig_1	1497215	1498510	-	1296	23080	23308	27179	17939	20565	19874
PBCCJM_01477	MRSA_LacFitz_contig_1	1500568	1500894	+	327	1622	1171	1726	1343	893	1541
PBCCJM_01478	MRSA_LacFitz_contig_1	1501186	1501359	-	174	957	733	921	520	622	569
yebE	MRSA_LacFitz_contig_1	1501340	1501942	-	603	11142	10194	13011	7070	8170	7321
nadE	MRSA_LacFitz_contig_1	1502213	1503034	-	822	14364	15062	21387	9542	9763	9882
pncB	MRSA_LacFitz_contig_1	1503027	1504496	-	1470	20001	20647	29089	13874	14090	14109
nos	MRSA_LacFitz_contig_1	1504680	1505756	+	1077	13483	15158	20070	5725	6547	6905
pheA2	MRSA_LacFitz_contig_1	1505776	1506570	+	795	9329	10152	13060	4450	5000	5449
sdcS	MRSA_LacFitz_contig_1	1506760	1508322	-	1563	4243	3072	4909	2759	2154	3484
PBCCJM_01485	MRSA_LacFitz_contig_1	1508527	1509624	-	1098	1706	1523	2020	961	964	844
pncA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	1509996;2241633	1510556;2242193	+;-	1122	30641	31206	42626	17551	16265	19478
ppaC	MRSA_LacFitz_contig_1	1510609	1511538	+	930	44721	40500	50516	43346	39772	41433
aldH1	MRSA_LacFitz_contig_1	1511958	1513337	+	1380	9554	9848	14578	1699	2280	3451
pgl	MRSA_LacFitz_contig_1	1513457	1514485	-	1029	10251	9379	13231	9061	9728	9383
PBCCJM_01490	MRSA_LacFitz_contig_1	1514755	1515156	+	402	1244	1148	1567	1123	1156	1293
PBCCJM_01492	MRSA_LacFitz_contig_1	1515729	1515902	-	174	2449	2280	2600	1704	2113	2221
PBCCJM_01493	MRSA_LacFitz_contig_1	1516281	1517393	+	1113	3107	2854	4283	1567	1788	1915
PBCCJM_01494	MRSA_LacFitz_contig_1	1517450	1518292	-	843	8157	7946	11138	7361	7128	8102
PBCCJM_01495	MRSA_LacFitz_contig_1	1518289	1518846	-	558	2096	1941	2480	2188	2143	2154
PBCCJM_01496	MRSA_LacFitz_contig_1	1518906	1519430	-	525	3245	3659	4499	3348	3439	3547
PBCCJM_01497	MRSA_LacFitz_contig_1	1519551	1520114	+	564	7150	6517	9510	5010	5149	6371
pmtD	MRSA_LacFitz_contig_1	1520180	1520920	-	741	5032	5648	7057	4187	3842	4465
pmtC	MRSA_LacFitz_contig_1	1520920	1521792	-	873	6852	6621	8334	4901	4994	4788
pmtB	MRSA_LacFitz_contig_1	1521789	1522469	-	681	2422	2643	3135	1996	2059	1954
pmtA	MRSA_LacFitz_contig_1	1522470	1523366	-	897	5764	5612	7095	4483	4391	4052
gntR	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	1523363;2083122	1523743;2083802	-;-	1062	2501	1867	2688	2851	1786	3621
PBCCJM_01503	MRSA_LacFitz_contig_1	1524007	1524183	-	177	454	444	590	460	433	480
PBCCJM_01505	MRSA_LacFitz_contig_1	1526334	1526624	-	291	380	300	482	61	63	100
PBCCJM_01506	MRSA_LacFitz_contig_1	1526635	1528389	-	1755	2779	2524	4071	355	383	696
PBCCJM_01507	MRSA_LacFitz_contig_1	1528775	1528975	+	201	1787	1291	2654	335	692	1558
PBCCJM_01508	MRSA_LacFitz_contig_1	1529452	1529526	+	75	4447	4960	6617	2701	2664	3758
scn	MRSA_LacFitz_contig_1	1530150	1530500	-	351	33355	34568	39657	2733	3282	7825
chp	MRSA_LacFitz_contig_1	1531185	1531634	+	450	7700	7217	8022	3446	2357	4876
PBCCJM_01512	MRSA_LacFitz_contig_1	1531729	1532025	-	297	5644	4982	6587	3498	3064	5095
sak	MRSA_LacFitz_contig_1	1532714	1533205	-	492	7729	8870	10173	271	289	346
PBCCJM_01515	MRSA_LacFitz_contig_1	1533396	1534151	-	756	193	104	161	61	57	110
PBCCJM_01516	MRSA_LacFitz_contig_1	1534163	1534417	-	255	94	46	105	27	20	41
PBCCJM_01518	MRSA_LacFitz_contig_1	1534955	1535185	-	231	308	271	414	125	121	183
PBCCJM_01519	MRSA_LacFitz_contig_1	1535309	1535596	-	288	241	136	259	96	66	110
PBCCJM_01520	MRSA_LacFitz_contig_1	1535643	1535795	-	153	16	14	7	6	8	12
PBCCJM_01521	MRSA_LacFitz_contig_1	1535785	1539570	-	3786	1751	1356	2021	1017	819	1182
PBCCJM_01522	MRSA_LacFitz_contig_1	1539586	1541070	-	1485	457	257	586	219	133	384
PBCCJM_01523	MRSA_LacFitz_contig_1	1541067	1545596	-	4530	2113	1422	2331	941	708	1489
PBCCJM_01524	MRSA_LacFitz_contig_1	1545653	1545790	-	138	39	23	42	22	13	20
PBCCJM_01525	MRSA_LacFitz_contig_1	1545841	1546191	-	351	492	369	700	194	175	299
PBCCJM_01526	MRSA_LacFitz_contig_1	1546507	1547151	-	645	689	567	700	330	214	369
PBCCJM_01527	MRSA_LacFitz_contig_1	1547155	1547559	-	405	298	212	289	135	95	157
PBCCJM_01528	MRSA_LacFitz_contig_1	1547556	1547960	-	405	401	277	558	172	98	219
PBCCJM_01529	MRSA_LacFitz_contig_1	1547957	1548319	-	363	46	20	39	13	17	23
PBCCJM_01530	MRSA_LacFitz_contig_1	1548303	1548587	-	285	219	167	270	77	76	141
PBCCJM_01531	MRSA_LacFitz_contig_1	1548577	1548861	-	285	210	152	215	73	63	94
PBCCJM_01532	MRSA_LacFitz_contig_1	1548881	1550026	-	1146	1596	1001	1661	564	445	922
beeE	MRSA_LacFitz_contig_1	1550771	1551958	-	1188	1037	691	1137	341	336	605
ymfN	MRSA_LacFitz_contig_1	1551974	1553635	-	1662	830	628	973	288	272	492
PBCCJM_01536	MRSA_LacFitz_contig_1	1553632	1553976	-	345	157	113	185	77	55	126
mcrA	MRSA_LacFitz_contig_1	1554106	1554405	-	300	259	157	305	78	80	173
PBCCJM_01538	MRSA_LacFitz_contig_1	1554637	1555053	-	417	439	296	439	234	210	296
PBCCJM_01539	MRSA_LacFitz_contig_1	1555081	1555281	-	201	59	56	92	28	23	51
rinB	MRSA_LacFitz_contig_1	1555281	1555430	-	150	1	0	3	0	0	1
PBCCJM_01541	MRSA_LacFitz_contig_1	1555427	1555813	-	387	259	197	296	99	86	119
PBCCJM_01542	MRSA_LacFitz_contig_1	1555810	1556016	-	207	49	34	55	29	30	36
PBCCJM_01543	MRSA_LacFitz_contig_1	1556013	1556258	-	246	103	134	221	49	47	130
PBCCJM_01544	MRSA_LacFitz_contig_1	1556295	1556828	-	534	368	191	402	114	102	224
PBCCJM_01545	MRSA_LacFitz_contig_1	1556821	1557063	-	243	11	5	6	6	9	6
PBCCJM_01546	MRSA_LacFitz_contig_1	1557053	1557289	-	237	5	12	14	8	3	9
PBCCJM_01547	MRSA_LacFitz_contig_1	1557282	1557653	-	372	154	90	183	48	43	91
PBCCJM_01548	MRSA_LacFitz_contig_1	1557662	1557904	-	243	58	28	60	16	15	43
PBCCJM_01549	MRSA_LacFitz_contig_1	1557908	1558276	-	369	209	159	298	75	63	139
rusA	MRSA_LacFitz_contig_1	1558289	1558693	-	405	183	107	243	46	58	91
PBCCJM_01551	MRSA_LacFitz_contig_1	1558702	1558920	-	219	25	24	22	5	6	12
ssb	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	1559850;1660878;2736426	1560320;1661225;2736929	-;-;+	1323	146282	138232	154672	130135	121781	122836
phnP	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	1560321;2346566	1560806;2347366	-;+	1287	6890	6518	8608	5326	5093	5191
PBCCJM_01555	MRSA_LacFitz_contig_1	1561019	1561939	-	921	1017	626	1165	327	287	597
PBCCJM_01556	MRSA_LacFitz_contig_1	1561941	1563884	-	1944	1718	1061	2145	517	494	913
PBCCJM_01557	MRSA_LacFitz_contig_1	1563893	1564156	-	264	179	106	180	64	37	101
PBCCJM_01558	MRSA_LacFitz_contig_1	1564165	1564425	-	261	118	70	133	40	34	76
PBCCJM_01559	MRSA_LacFitz_contig_1	1564465	1564725	-	261	132	74	138	36	31	85
PBCCJM_01560	MRSA_LacFitz_contig_1	1564820	1564981	-	162	24	19	30	15	8	19
PBCCJM_01561	MRSA_LacFitz_contig_1	1564978	1565298	-	321	235	178	308	97	88	167
PBCCJM_01562	MRSA_LacFitz_contig_1	1565357	1565587	+	231	3633	3774	4498	3341	3250	3149
PBCCJM_01563	MRSA_LacFitz_contig_1	1565584	1565760	-	177	139	97	169	46	40	68
PBCCJM_01564	MRSA_LacFitz_contig_1	1565776	1566528	-	753	1232	706	1449	329	306	684
PBCCJM_01565	MRSA_LacFitz_contig_1	1566579	1566908	+	330	540	355	691	219	220	327
PBCCJM_01566	MRSA_LacFitz_contig_1	1566897	1567112	-	216	234	161	240	85	71	140
PBCCJM_01567	MRSA_LacFitz_contig_1	1567128	1567391	-	264	159	131	203	65	33	82
PBCCJM_01568	MRSA_LacFitz_contig_1	1567525	1568238	+	714	5711	5485	8223	9609	9131	7611
PBCCJM_01570	MRSA_LacFitz_contig_1	1569192	1569533	+	342	1876	2077	2927	2892	2917	2811
PBCCJM_01571	MRSA_LacFitz_contig_1	1569737	1569919	+	183	1384	1279	1612	1781	1814	1821
mazF	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	1569997;1632064;2759766	1570710;1632426;2760470	+;-;-	1782	17875	16811	23528	12048	12724	15504
PBCCJM_01573	MRSA_LacFitz_contig_1	1570901	1571938	+	1038	1722	1658	2187	2168	2155	2244
sph	MRSA_LacFitz_contig_1	1571995	1572819	+	825	1661	1611	1969	1971	1885	1825
lukG	MRSA_LacFitz_contig_1	1573057	1574073	-	1017	14152	17837	20704	681	1035	1393
lukH	MRSA_LacFitz_contig_1	1574095	1575150	-	1056	21199	25887	33543	744	1160	1586
dapE	MRSA_LacFitz_contig_1	1575585	1576808	+	1224	2159	1616	2373	524	673	665
PBCCJM_01578	MRSA_LacFitz_contig_1	1577180	1578025	-	846	252	274	297	653	523	581
PBCCJM_01579	MRSA_LacFitz_contig_1	1578087	1578998	-	912	281	307	351	832	531	679
PBCCJM_01581	MRSA_LacFitz_contig_1	1581319	1581762	-	444	1123	954	1244	602	625	554
PBCCJM_01582	MRSA_LacFitz_contig_1	1581927	1582268	-	342	503	409	586	243	297	215
xtmA	MRSA_LacFitz_contig_1	1582622	1583212	-	591	355	369	465	355	410	441
groL	MRSA_LacFitz_contig_1	1584123	1585739	-	1617	35877	34566	46251	54187	56748	37483
groES	MRSA_LacFitz_contig_1	1585815	1586099	-	285	4345	4369	5821	6936	7434	4777
mroQ	MRSA_LacFitz_contig_1	1586274	1587017	+	744	11430	11764	14962	12153	11528	11338
sdrH	MRSA_LacFitz_contig_1	1587042	1588295	-	1254	6989	7006	9151	2904	3839	4471
fMR2	MRSA_LacFitz_contig_1	1588492	1589118	+	627	799	882	1032	550	471	454
nifR	MRSA_LacFitz_contig_1	1589288	1589356	-	69	256	299	316	134	121	137
yafV	MRSA_LacFitz_contig_1	1589479	1590264	+	786	2940	2949	3641	2083	2131	2205
hld	MRSA_LacFitz_contig_1	1590861	1590995	-	135	138565	97356	197305	37	5267	16838
agrB	MRSA_LacFitz_contig_1	1591177	1591800	+	624	105395	84752	140410	538	12982	25975
PBCCJM_01594	MRSA_LacFitz_contig_1	1591797	1591937	+	141	924	798	1344	9	137	279
agrC	MRSA_LacFitz_contig_1	1591962	1593254	+	1293	139368	109701	191415	2302	20348	40249
agrA	MRSA_LacFitz_contig_1	1593273	1593989	+	717	97905	66687	108721	4582	13454	22991
rbsK	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	1594516;2631834	1595316;2632748	-;-	1716	6460	5303	8107	4736	4821	6530
sacC	MRSA_LacFitz_contig_1	1595313	1596797	-	1485	10748	10052	14208	10323	9326	10550
amtB	MRSA_LacFitz_contig_1	1598079	1599329	-	1251	309	230	345	363	332	595
tusA	MRSA_LacFitz_contig_1	1599537	1599761	-	225	635	484	636	1047	839	831
yedE	MRSA_LacFitz_contig_1	1599821	1600900	-	1080	3517	3015	4256	6641	5194	4840
rex	MRSA_LacFitz_contig_1	1601204	1601839	-	636	7828	7891	8208	7087	6695	7404
abc-f	MRSA_LacFitz_contig_1	1602092	1604020	+	1929	9726	8965	12747	5607	5415	5292
tsaD	MRSA_LacFitz_contig_1	1606093	1607118	-	1026	9480	10660	12849	6891	7311	5894
tsaB	MRSA_LacFitz_contig_1	1607548	1608210	-	663	3306	3689	4459	2822	3541	3044
tsaE	MRSA_LacFitz_contig_1	1608191	1608685	-	495	3553	3730	5373	3339	3811	3656
ilvD	MRSA_LacFitz_contig_1	1609163	1610851	+	1689	1489	657	1591	657	518	704
ilvB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	1610879;2118443	1612648;2120182	+;-	3510	19034	14578	23064	8999	8323	10311
ilvH	MRSA_LacFitz_contig_1	1612648	1612902	+	255	70	19	90	50	70	43
ilvC	MRSA_LacFitz_contig_1	1613039	1614043	+	1005	383	152	493	394	365	345
leuB	MRSA_LacFitz_contig_1	1615605	1616651	+	1047	386	238	577	335	321	416
leuC	MRSA_LacFitz_contig_1	1616665	1618035	+	1371	371	233	385	400	309	436
leuD	MRSA_LacFitz_contig_1	1618036	1618608	+	573	93	80	114	114	140	159
ilvA	MRSA_LacFitz_contig_1	1618623	1619891	+	1269	346	382	422	421	392	574
sprT	MRSA_LacFitz_contig_1	1626010	1626465	-	456	3477	3046	4292	2480	2211	2260
tex	MRSA_LacFitz_contig_1	1626458	1628596	-	2139	15490	14253	18429	11779	11137	10971
sigB	MRSA_LacFitz_contig_1	1629042	1629812	-	771	33940	29862	43794	4822	7090	8377
rsbW	MRSA_LacFitz_contig_1	1629787	1630266	-	480	11731	9907	14907	2094	2916	3273
rsbV	MRSA_LacFitz_contig_1	1630268	1630594	-	327	4487	4208	5605	1036	1405	1594
rsbU	MRSA_LacFitz_contig_1	1630713	1631714	-	1002	14191	13628	18313	5173	6247	9033
mazE	MRSA_LacFitz_contig_1	1632423	1632593	-	171	4383	4136	5118	5025	4934	4432
alr	MRSA_LacFitz_contig_1	1632678	1633826	-	1149	12094	11538	15548	10343	10912	9173
acpS	MRSA_LacFitz_contig_1	1633892	1634251	-	360	2340	2137	3037	2219	2462	1824
